File  .text     Size         Crate Name
0.4%   5.8%  10.7KiB     [Unknown] add_ranges
0.4%   5.5%  10.3KiB     [Unknown] read_line_info
0.3%   5.0%   9.3KiB     [Unknown] elf_add
0.3%   4.2%   7.7KiB           std __rdos_backtrace_dwarf_add
0.2%   3.8%   7.0KiB     [Unknown] read_attribute
0.2%   2.7%   5.0KiB           std core::num::flt2dec::strategy::dragon::format_shortest
0.1%   2.1%   4.0KiB           std core::num::flt2dec::strategy::dragon::format_exact
0.1%   2.0%   3.8KiB     [Unknown] elf_zlib_inflate_and_verify
0.1%   1.8%   3.4KiB           std <rustc_demangle::legacy::Demangle as core::fmt::Display>::fmt
0.1%   1.8%   3.4KiB           std rustc_demangle::demangle
0.1%   1.8%   3.3KiB     [Unknown] elf_zlib_inflate_table
0.1%   1.7%   3.2KiB     [Unknown] read_function_entry
0.1%   1.5%   2.8KiB           std rustc_demangle::v0::Printer::print_type
0.1%   1.3%   2.4KiB           std core::num::flt2dec::strategy::grisu::format_shortest_opt
0.1%   1.2%   2.2KiB     [Unknown] find_address_ranges
0.1%   1.2%   2.2KiB           std core::str::pattern::StrSearcher::new
0.1%   1.1%   2.1KiB           std rustc_demangle::v0::Printer::print_path
0.1%   1.0%   1.9KiB           std __rdos_backtrace_qsort
0.1%   1.0%   1.9KiB     [Unknown] read_line_header_format_entries
0.1%   0.9%   1.7KiB qrand_benches qrand_benches::main
0.1%   0.9%   1.7KiB     [Unknown] dwarf_lookup_pc
0.1%   0.8%   1.5KiB           std backtrace::print::BacktraceFrameFmt::print_raw
0.1%   0.8%   1.5KiB           std core::fmt::Formatter::pad
0.1%   0.8%   1.5KiB           std core::num::flt2dec::strategy::grisu::format_exact_opt
0.1%   0.8%   1.5KiB qrand_benches qrand_benches::rd_u64_par
0.0%   0.8%   1.4KiB           std core::fmt::float::float_to_decimal_common_exact
0.0%   0.7%   1.4KiB           std rustc_demangle::v0::Parser::skip_path
0.0%   0.7%   1.3KiB           std std::rt::lang_start_internal
0.0%   0.7%   1.3KiB           std rustc_demangle::v0::Parser::skip_type
0.0%   0.7%   1.3KiB           std std::sys_common::backtrace::_print_fmt::{{closure}}::{{closure}}
0.0%   0.7%   1.3KiB           std rustc_demangle::v0::Printer::print_const
0.0%   0.7%   1.2KiB           std <std::path::Components as core::iter::traits::iterator::Iterator>::next
0.0%   0.6%   1.2KiB           std core::fmt::Formatter::pad_integral
0.0%   0.6%   1.2KiB           std core::fmt::float::float_to_decimal_common_shortest
0.0%   0.6%   1.2KiB           std <rustc_demangle::v0::Ident as core::fmt::Display>::fmt
0.0%   0.6%   1.1KiB           std <core::str::lossy::Utf8LossyChunksIter as core::iter::traits::iterator::Iterato...
0.0%   0.6%   1.1KiB     [Unknown] read_referenced_name
0.0%   0.6%   1.0KiB           std std::path::Components::as_path
0.0%   0.5%   1.0KiB           std <str as core::fmt::Debug>::fmt
0.0%   0.5%    1013B           std core::str::slice_error_fail
0.0%   0.5%    1013B           std std::sys_common::thread_local::register_dtor_fallback
0.0%   0.5%     997B           std std::panicking::default_hook
0.0%   0.5%     969B           std rustc_demangle::v0::Printer::print_type::{{closure}}
0.0%   0.5%     939B           std <std::sys_common::os_str_bytes::Slice as core::fmt::Debug>::fmt
0.0%   0.5%     931B           std core::num::bignum::Big32x40::mul_digits
0.0%   0.5%     920B           std std::io::stdio::_print
0.0%   0.5%     885B           std std::thread::park
0.0%   0.5%     879B     [Unknown] elf_open_debugfile_by_debuglink
0.0%   0.5%     860B           std std::io::buffered::BufWriter<W>::flush_buf
0.0%   0.4%     848B           std rust_eh_personality
0.0%   0.4%     829B           std std::io::Write::write_all_vectored
0.0%   0.4%     808B           std compiler_builtins::int::udiv::__udivmodti4
0.0%   0.4%     783B           std std::path::Components::parse_next_component_back
0.0%   0.4%     782B           std std::sync::once::Once::call_inner
0.0%   0.4%     763B           std std::sys_common::thread_local::register_dtor_fallback::run_dtors
0.0%   0.4%     759B           std std::io::Write::write_all_vectored
0.0%   0.4%     740B           std core::num::flt2dec::strategy::dragon::mul_pow10
0.0%   0.4%     723B           std core::fmt::Formatter::write_formatted_parts
0.0%   0.4%     715B           std <std::io::buffered::LineWriter<W> as std::io::Write>::write
0.0%   0.4%     689B           std core::fmt::write
0.0%   0.4%     689B           std std::thread::Thread::new
0.0%   0.4%     686B           std std::env::_var_os
0.0%   0.4%     681B           std <std::io::stdio::StdoutLock as std::io::Write>::write_all
0.0%   0.4%     666B           std rustc_demangle::v0::Parser::ident
0.0%   0.3%     658B           std std::sys::unix::stack_overflow::imp::signal_handler
0.0%   0.3%     652B           std core::unicode::printable::is_printable
0.0%   0.3%     652B           std std::env::current_dir
0.0%   0.3%     648B           std std::panicking::default_hook::{{closure}}
0.0%   0.3%     643B           std std::io::Write::write_all
0.0%   0.3%     632B           std <std::io::error::Error as core::fmt::Display>::fmt
0.0%   0.3%     627B           std core::str::from_utf8
0.0%   0.3%     616B           std <char as core::fmt::Debug>::fmt
0.0%   0.3%     606B           std backtrace::symbolize::libbacktrace::resolve
0.0%   0.3%     601B           std std::sys::unix::condvar::Condvar::init
0.0%   0.3%     586B           std std::sync::once::Once::call_once::{{closure}}
0.0%   0.3%     581B           std backtrace::symbolize::Symbol::name
0.0%   0.3%     564B           std std::io::stdio::stdout
0.0%   0.3%     560B           std std::sys_common::backtrace::output_filename
0.0%   0.3%     554B           std <core::fmt::builders::PadAdapter as core::fmt::Write>::write_str
0.0%   0.3%     541B           std <&mut W as core::fmt::Write>::write_char
0.0%   0.3%     540B           std <&T as core::fmt::Debug>::fmt
0.0%   0.3%     540B           std core::fmt::num::<impl core::fmt::Debug for usize>::fmt
0.0%   0.3%     537B           std rustc_demangle::v0::Printer::print_path_maybe_open_generics
0.0%   0.3%     529B           std core::fmt::Formatter::pad_formatted_parts
0.0%   0.3%     516B     [Unknown] fileline_initialize
0.0%   0.3%     516B           std core::ptr::swap_nonoverlapping_bytes
0.0%   0.3%     514B           std <std::sys_common::backtrace::_print::DisplayBacktrace as core::fmt::Display>::fmt
0.0%   0.3%     514B           std <std::io::stdio::Stdout as std::io::Write>::write_fmt
0.0%   0.3%     512B           std std::sys_common::at_exit_imp::push
0.0%   0.3%     508B     [Unknown] resolve_string
0.0%   0.3%     504B           std std::sys_common::thread_info::set
0.0%   0.3%     496B           std std::path::iter_after
0.0%   0.3%     496B           std <std::io::buffered::BufWriter<W> as std::io::Write>::write
0.0%   0.3%     488B    qrand_core <qrand_core::rd::Rd as qrand_core::low_discrepancy_sequence::LowDiscrepancySequ...
0.0%   0.3%     483B           std std::panicking::rust_panic_with_hook
0.0%   0.3%     480B           std core::slice::memchr::memchr
0.0%   0.2%     464B           std rustc_demangle::v0::Parser::skip_const
0.0%   0.2%     447B           std std::io::Write::write_fmt
0.0%   0.2%     428B           std std::sys_common::util::report_overflow
0.0%   0.2%     423B           std core::fmt::builders::DebugStruct::field
0.0%   0.2%     389B           std core::num::bignum::Big32x40::mul_pow2
0.0%   0.2%     389B           std panic_unwind::dwarf::eh::read_encoded_pointer
0.0%   0.2%     388B           std std::sys_common::thread_info::ThreadInfo::with::{{closure}}
0.0%   0.2%     373B           std core::num::from_str_radix
0.0%   0.2%     372B           std rustc_demangle::v0::Printer::print_dyn_trait
0.0%   0.2%     369B           std <core::str::Split<P> as core::iter::traits::iterator::Iterator>::next
0.0%   0.2%     360B           std <&T as core::fmt::Debug>::fmt
0.0%   0.2%     349B           std std::ffi::c_str::CString::from_vec_unchecked
0.0%   0.2%     341B           std core::fmt::num::<impl core::fmt::Display for u128>::fmt
0.0%   0.2%     328B           std core::unicode::unicode_data::grapheme_extend::lookup
0.0%   0.2%     316B           std <std::sync::once::WaiterQueue as core::ops::drop::Drop>::drop
0.0%   0.2%     315B           std std::sys_common::thread_local::StaticKey::lazy_init
0.0%   0.2%     306B           std core::fmt::builders::DebugTuple::field
